Collection ID,Artist (Japanese),Artist (English),Title (Japanese),Title (English),Label,Catalog Number,Year,Format,Country,Genre,Retail Price (JPY),Notes,Source Photo,Cover Image Filename,Discogs URL,Cover Source,Cover Status,Research Notes,Obi,Shelf Location,Vinyl Condition,Sleeve Condition,Inserts,Purchase Date,Price Paid,Purchase Currency,Verification Issues,Verification Status,Last Updated,Album Summary,Summary Source,Summary Source Label,Artist Info URL,Artist Info Label
11,本田路津子,Rutsuko Honda,ギフト・パック・シリーズ,Gift Pack Series,CBS/Sony,SOLL-42,1973,LP,Japan,Folk,"¥2,000",Yellow Gift Pack Series obi and green circular portrait cover.,IMG_3231.jpg — bottom left,11_honda_gift_pack.jpg,https://www.discogs.com/release/6410826,https://www.discogs.com/release/6410826,discogs,"Photo audit 2026-09-17: IMG_3231.jpg, bottom left. Yellow Gift Pack Series obi and green circular portrait cover. Reference: https://www.discogs.com/release/6410826
Earlier imported notes (retained as history; may contain superseded readings): Yellow Gift Pack Series obi; circular portrait cover. Jacket/obi show SOLL-42. Closest published tracklist is SOLL-16 Gift Pack — used provisionally; verify against disc/insert.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A twelve-song selection in CBS/Sony’s Gift Pack Series, bringing together “Shiroi Hana”, “Mimi o Sumashite Goran” and “Aki demo nai noni”.",https://www.discogs.com/release/6410826,Discogs release and track listing,https://www.discogs.com/artist/1330031,Discogs artist profile
12,本田路津子,Rutsuko Honda,秋でもないのに / Honda Sings Evergreen Folk Hits,Aki demo nai noni / Honda Sings Evergreen Folk Hits,CBS/Sony,SOND-66050,1971,LP,Japan,Folk,"¥1,800",Catalogue number read directly from the red CBS/Sony obi.,IMG_3231.jpg — bottom right,12_honda_evergreen.jpg,https://www.discogs.com/release/14124740,https://www.discogs.com/release/14124740,discogs,"Photo audit 2026-09-17: IMG_3231.jpg, bottom right. Catalogue number read directly from the red CBS/Sony obi.
Earlier imported notes (retained as history; may contain superseded readings): Red obi SONL-56010. Content matches debut LP『秋でもないのに』SOND-66050 (1971-04). Tracklist from Wikipedia discography.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A collection of enduring folk songs, including “Hitori no Te”, “Tōi Sekai ni” and “Kyō no Hi wa Sayōnara”. The title track opens this 1971 CBS/Sony album.",https://www.discogs.com/release/14124740,Discogs release and track listing,https://www.discogs.com/artist/1330031,Discogs artist profile
13,宮城道雄（作品）／演奏：宮城喜代子・宮城数江・伊藤京子 他,"Michio Miyagi (compositions) / perf. Kiyoko Miyagi, Kazue Miyagi, Kyoko Ito et al.",箏 名曲の調べ〈3〉／宮城道雄作品集,Koto Masterpieces Vol. 3 / Michio Miyagi Works,Victor,SJL-2080,,LP,Japan,Traditional / Koto (Ikuta-ryū),,,IMG_3236.jpg — top left,13_reference_crop.jpg,https://www.discogs.com/search/?q=%E5%AE%AE%E5%9F%8E%E9%81%93%E9%9B%84%EF%BC%88%E4%BD%9C%E5%93%81%EF%BC%89%EF%BC%8F%E6%BC%94%E5%A5%8F%EF%BC%9A%E5%AE%AE%E5%9F%8E%E5%96%9C%E4%BB%A3%E5%AD%90%E3%83%BB%E5%AE%AE%E5%9F%8E%E6%95%B0%E6%B1%9F%E3%83%BB%E4%BC%8A%E8%97%A4%E4%BA%AC%E5%AD%90%20%E4%BB%96%20SJL-2080%20%E7%AE%8F%20%E5%90%8D%E6%9B%B2%E3%81%AE%E8%AA%BF%E3%81%B9%E3%80%883%E3%80%89%EF%BC%8F%E5%AE%AE%E5%9F%8E%E9%81%93%E9%9B%84%E4%BD%9C%E5%93%81%E9%9B%86,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3236.jpg,reference_photo,"Photo audit 2026-09-17: IMG_3236.jpg, top left. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Jacket clearly prints SJL-2080 (not SJ-3008-3). Performers on jacket: 宮城喜代子(箏), 宮城数江(唄・箏), 伊藤京子(唄)他. 'KOTO music' branding. Pieces listed on front.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.",Not visible in supplied photo,,,,,,,,Release year is unconfirmed.,Needs verification,2026-09-17,"Volume three of a koto collection devoted to compositions by Michio Miyagi. The sleeve credits performers including Kiyoko Miyagi and Kazue Miyagi, and lists “Haru no Umi” among the works.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3236.jpg,Original sleeve (collection note),https://en.wikipedia.org/wiki/Michio_Miyagi,Wikipedia
14,榎本美佐江,Misae Enomoto,榎本美佐江 名曲集,Misae Enomoto Masterpieces / Famous Songs,Victor,SJX-150,,LP,Japan,Kayōkyoku / Enka,,Victor catalogue number SJX-150 is visible at the top right.,IMG_3236.jpg — top right,14_enomoto_meikyoku.jpg,https://www.discogs.com/release/10151877,https://www.discogs.com/release/10151877,discogs,"Photo audit 2026-09-17: IMG_3236.jpg, top right. Victor catalogue number SJX-150 is visible at the top right.
Earlier imported notes (retained as history; may contain superseded readings): Victor SJ-2022 on jacket per photo. Tracklist matches well-known『名曲集』also issued as SJX-150 / Nivico. CD reissue VICL-63064 (2008) same 12 songs.",Not visible in supplied photo,,,,,,,,Release year is unconfirmed.,Needs verification,2026-09-17,"A selection of twelve songs, including “Jūsan’ya”, “Atooi Shamisen”, “Gion Kouta” and “Tenryū Kudareba”. The programme draws on Japanese traditional and popular-song repertoire.",https://www.discogs.com/release/10151877,Discogs release and track listing,https://www.discogs.com/artist/7511264,Discogs artist profile
15,赤い鳥,The Red Birds (Akai Tori),What a Beautiful World,What a Beautiful World,Liberty (Toshiba Musical Industries),LTP-9017,1971,LP,Japan,Folk / Pop,,,IMG_3236.jpg — bottom left,15_red_birds_beautiful_world.jpg,https://www.discogs.com/release/6403254,https://www.discogs.com/release/6403254,discogs,"Photo audit 2026-09-17: IMG_3236.jpg, bottom left. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): English-language folk album. Manufactured by Toshiba; licensed from Liberty; produced for Alfa Music. Recorded at AIR Studios / Toshiba Studios.",Not visible in supplied photo,,,,,,,,,Photo checked,2026-09-17,"Released on 5 March 1971, this is the third album in Sony’s official Red Birds discography. It sits between Red Birds and Takeda no Komoriuta in the group’s early recording history.",https://www.sonymusic.co.jp/Music/Info/junkoyamamoto/akaitoridisc.html,Sony Music discography,https://www.discogs.com/artist/2812156,Discogs artist profile
16,中島みゆき,Miyuki Nakajima,愛していると云ってくれ,Aishiteru to Ittekure (Tell Me You Love Me),Aard-Vark / Canyon,C28A0146,,LP,Japan,Folk / New Music,"¥2,800","Black sleeve with inset artwork. C28A0146 and ¥2,800 are printed on the obi.",IMG_3236.jpg — bottom right,16_nakajima_aishiteru.jpg,,https://www.discogs.com/release/5419459,discogs,"Photo audit 2026-09-17: IMG_3236.jpg, bottom right. Black sleeve with inset artwork. C28A0146 and ¥2,800 are printed on the obi.
Earlier imported notes (retained as history; may contain superseded readings): Black cover with inset photo. Catalog on jacket C25A0007 (Canyon repress series). Original LP VX-9002 ¥2500 (1978). 9 tracks.
Artwork is the matching album design from the original VX-9002 edition; the owned pressing is C28A0146.",Present (visible in photo),,,,,,,,This is a Canyon C28A0146 reissue; its pressing year needs confirmation. The original album was released in 1978.,Needs verification,2026-09-17,"Originally released on 10 April 1978, this nine-track album opens with the spoken “Genki Desu ka” and includes “Wakareuta”, “Keshō” and “Sejō”. This collection holds the C28A0146 reissue; its pressing date is still unconfirmed.",https://www.yamahamusic.co.jp/s/ymc/discography/266?ima=0000&link=ROBO004,Yamaha Music album notes,https://www.discogs.com/artist/1082785,Discogs artist profile
17,イルカ,Iruka,JULIA,JULIA,PANAM (Crown),GWP-1019,1982,LP,Japan,Folk / Pop,"¥2,800","PANAM obi shows GWP-1019 and ¥2,800.",IMG_3237.jpg — top left,17_verified_front_20260917.jpg,https://www.discogs.com/search/?q=%E3%82%A4%E3%83%AB%E3%82%AB%20GWP-1019%20JULIA,https://omimi.biz/products/detail/48169,retailer,"Photo audit 2026-09-17: IMG_3237.jpg, top left. PANAM obi shows GWP-1019 and ¥2,800. Reference: https://omimi.biz/products/detail/48169
Earlier imported notes (retained as history; may contain superseded readings): Black PANAM obi lists GWP-1015 ¥2800. Released 1982-06-25. Recorded in LA (Sunset Sound).",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,Iruka’s JULIA is represented here by the PANAM GWP-1019 LP. The artist’s official discography documents the album alongside her wider recording catalogue.,https://www.crownrecord.co.jp/s/c01/artist/iruka/discography,Nippon Crown discography,https://www.crownrecord.co.jp/s/c01/artist/iruka/discography,Official artist page
18,ウィッシュ,Wish,WISHは愛 / 六月の子守唄,Wish wa Ai / Rokugatsu no Komoriuta,Elektra (Warner-Pioneer),L-8037E,1974,LP,Japan,Folk / Soft Rock,"¥2,200",,IMG_3237.jpg — top right,18_wish_rokugatsu.jpg,https://www.discogs.com/release/15856177,https://www.discogs.com/release/15856177,discogs,"Photo audit 2026-09-17: IMG_3237.jpg, top right. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): White Elektra obi. Arranged association with Tetsuji Hayashi / Mitsuo Hagita noted in secondary sources.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A twelve-song folk album by Wish, ending with “Rokugatsu no Komoriuta”. Other selections include “Kazaguruma”, “Tegami” and “Shihatsu Ressha de”.",https://www.discogs.com/release/15856177,Discogs release and track listing,https://www.discogs.com/artist/6163738,Discogs artist profile
19,川島康子,Yasuko Kawashima,海の見える部屋,Umi no Mieru Heya (A Room with a Sea View),Bauhaus,K28A-391,1983,LP,Japan,New Music / Kayōkyoku,"¥2,800",,IMG_3237.jpg — bottom left,19_kawashima_umi.jpg,https://www.discogs.com/release/16035381,https://www.discogs.com/release/16035381,discogs,"Photo audit 2026-09-17: IMG_3237.jpg, bottom left. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Yellow obi. Auction/listings: Bauhaus K28A-391 (1983). Tracklist from secondary blog/auction sources.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A ten-song album from 1983, closing with its title song, “Umi no Mieru Heya”. The programme also includes “Watashi wa Ima”, “Shabon-dama” and “Room Mirror”.",https://www.discogs.com/release/16035381,Discogs release and track listing,https://www.discogs.com/artist/7500205,Discogs artist profile
20,島倉千代子,Chiyoko Shimakura,愛唱集,Aishōshū (Favorite Songs / Songbook),Columbia,ALS-5027,,LP,Japan,Enka / Kayōkyoku,,Catalogue ALS-5027 is printed at the top left; the previous ALS-4027 reading was incorrect.,IMG_3237.jpg — bottom right,20_verified_front_20260917.jpg,https://www.discogs.com/search/?q=%E5%B3%B6%E5%80%89%E5%8D%83%E4%BB%A3%E5%AD%90%20ALS-5027%20%E6%84%9B%E5%94%B1%E9%9B%86,https://jp.mercari.com/shops/product/pHsJncLrQoCDTzdiTXTt7a,retailer,"Photo audit 2026-09-17: IMG_3237.jpg, bottom right. Catalogue ALS-5027 is printed at the top left; the previous ALS-4027 reading was incorrect.
Earlier imported notes (retained as history; may contain superseded readings): Columbia ALS-4027 on jacket. Close-up smiling portrait. Full tracklist not verified from Discogs/web within this pass — incomplete.",Not visible in supplied photo,,,,,,,,Release year and track listing remain unconfirmed.,Needs verification,2026-09-17,"The Columbia sleeve identifies this as Chiyoko Shimakura’s Aishōshū, a collection of favourite songs. The visible catalogue number is ALS-5027; the release year still needs confirmation.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3237.jpg,Original sleeve (collection note),https://en.wikipedia.org/wiki/Chiyoko_Shimakura,Wikipedia
21,金子晴美,Harumi Kaneko,アイ・ラヴ・ニューヨーク / I Love New York,I Love New York,Philips,FS-7032,1980,LP,Japan,Jazz Vocal,,Philips FS-7032 appears at the top right. Pink Excellent Vocal Album obi.,IMG_3238.jpg — top left,21_kaneko_i_love_ny.jpg,https://www.discogs.com/release/4576441,https://www.discogs.com/release/4576441,discogs,"Photo audit 2026-09-17: IMG_3238.jpg, top left. Philips FS-7032 appears at the top right. Pink Excellent Vocal Album obi. Reference: https://www.discogs.com/release/4576441
Earlier imported notes (retained as history; may contain superseded readings): Salmon-pink EXCELLENT VOCAL ALBUM obi. Photo shows FS-7022; Discogs/MION list FS-7032 — possible variant or misread; verify spine/label. Feat. Hank Jones, Ron Carter et al.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A vocal jazz set mixing standards and contemporary songs, from “How About You?” and “These Foolish Things” to Stevie Wonder’s “Too Shy to Say”. Released by Philips in 1980.",https://www.discogs.com/release/4576441,Discogs release and track listing,https://www.discogs.com/artist/2762163,Discogs artist profile
22,桜田淳子,Junko Sakurada,ベスト・コレクション '76,Best Collection '76,Victor,SJV-832~3,1976,2LP,Japan,Idol Kayōkyoku,,"Victor SJV-832~3, a two-record set. Distinct from Mineko Nishikawa's collection.",IMG_3238.jpg — top right,22_sakurada_best76.jpg,https://www.discogs.com/release/7643818,https://www.discogs.com/release/7643818,discogs,"Photo audit 2026-09-17: IMG_3238.jpg, top right. Victor SJV-832~3, a two-record set. Distinct from Mineko Nishikawa's collection.
Earlier imported notes (retained as history; may contain superseded readings): 2LP gatefold; Discogs/MION/FanFan: SJV-832~3. Parent tentative SJV-831~2 — verify jacket. 24 tracks.",Not visible in supplied photo,,,,,,,,,Photo checked,2026-09-17,"This two-record collection gathers twenty-four songs, including “Jūshichi no Natsu”, “Hajimete no Dekigoto” and “Watashi no Aoi Tori”. It is Junko Sakurada’s edition of Victor’s Best Collection ’76 series.",https://www.discogs.com/release/7643818,Discogs release and track listing,https://www.discogs.com/artist/3390757,Discogs artist profile
23,いしだあゆみ,Ayumi Ishida,魅力のすべて G&G 3000,Miryoku no Subete / Green & Glorious 3000,Columbia,JDX-4003~4,1973,2LP,Japan,Kayōkyoku,"¥3,000","Pink G&G 3000 obi. Two-record set, ¥3,000.",IMG_3238.jpg — bottom left,23_verified_front_20260917.jpg,https://www.discogs.com/search/?q=%E3%81%84%E3%81%97%E3%81%A0%E3%81%82%E3%82%86%E3%81%BF%20JDX-4003~4%20%E9%AD%85%E5%8A%9B%E3%81%AE%E3%81%99%E3%81%B9%E3%81%A6%20G%26G%203000,https://www.snowrecords.jp/?pid=100821017,retailer,"Photo audit 2026-09-17: IMG_3238.jpg, bottom left. Pink G&G 3000 obi. Two-record set, ¥3,000. Reference: https://www.snowrecords.jp/?pid=100821017
Earlier imported notes (retained as history; may contain superseded readings): Pink G&G 3000 obi, 2枚組 ¥3000. Obi lists many titles; full side assignment not fully verified — tracks below from obi reading, sides provisional.",Present (visible in photo),,,,,,,,"Track titles are visible on the obi, but side assignments need checking.",Needs verification,2026-09-17,A two-record Ayumi Ishida collection in Columbia’s Green & Glorious 3000 series. The obi advertises songs including “Blue Light Yokohama” and “Taiyō wa Naiteiru”.,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3238.jpg,Original sleeve (collection note),https://www.discogs.com/artist/311861,Discogs artist profile
24,都はるみ,Harumi Miyako,ベストアルバム,Best Album,Columbia,,,LP,Japan,Enka,,"Cream kimono, peach background and blue sakura border. Separate from #07.",IMG_3238.jpg — bottom right,24_reference_crop.jpg,https://www.discogs.com/search/?q=%E9%83%BD%E3%81%AF%E3%82%8B%E3%81%BF%20%20%E3%83%99%E3%82%B9%E3%83%88%E3%82%A2%E3%83%AB%E3%83%90%E3%83%A0,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3238.jpg,reference_photo,"Photo audit 2026-09-17: IMG_3238.jpg, bottom right. Cream kimono, peach background and blue sakura border. Separate from #07.
Earlier imported notes (retained as history; may contain superseded readings): DISTINCT from #07 and #08. Cream/off-white kimono, peach background, navy blue sakura border, vertical red title panel. Catalog number not visible on front crop. Tracklist unverified for this specific jacket — incomplete.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.",Not visible in supplied photo,,,,,,,,"Catalogue number, year and track list need confirmation; ALS-7054 is only a candidate.",Needs verification,2026-09-17,"A Harumi Miyako compilation titled Best Album, identifiable here by its blue blossom border. Its precise catalogue number and programme still need checking, so it is kept separate from the AX-7293 compilation.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3238.jpg,Original sleeve (collection note),https://www.discogs.com/artist/495700,Discogs artist profile
