Collection ID,Side,Track Number,Title (Japanese),Title (English/Romanization),Duration
04,B,4,哀別,Aibetsu,3:22
04,B,5,命,Inochi,3:38
04,B,6,良太の子守唄,Ryōta no Komoriuta,3:14
05,A,1,ある朝うまれて,Aru Asa Umarete,
05,A,2,ままごとの世界,Mamagoto no Sekai,
05,A,3,春が来ると,Haru ga Kuru to,
05,A,4,希望の国,Kibō no Kuni,
05,A,5,孤独な少女,Kodoku na Shōjo,
05,A,6,陽は昇る,Hi wa Noboru,
05,B,1,家路,Ieji,
05,B,2,恋する瞬間,Koisuru Shunkan,
05,B,3,どうしているの,Dōshite Iru no,
05,B,4,あの想い出の道,Ano Omoide no Michi,
05,B,5,一年たちました,Ichinen Tachimashita,
05,B,6,出発のある人生,Shuppatsu no Aru Jinsei,
06,?,1,涙の連絡船 (obi),Namida no Renrakusen (seen on obi),UNVERIFIED side
06,?,2,アンコ椿は恋の花 (obi),Anko Tsubaki wa Koi no Hana (seen on obi),UNVERIFIED side
07,A,1,大阪しぐれ,Ōsaka Shigure,
07,A,2,北の宿から,Kita no Yado kara,
07,A,3,さよなら海峡,Sayonara Kaikyō,
07,A,4,港町,Minatomachi,
07,A,5,おんなの海峡,Onna no Kaikyō,
07,A,6,白樺に涙あり,Shirakaba ni Namida Ari,
07,A,7,涙の連絡船,Namida no Renrakusen,
07,B,1,好きになった人,Suki ni Natta Hito,
07,B,2,惚れちゃったんだョ,Horechatta n da yo,
07,B,3,はるみの三度笠,Harumi no Sandogasa,
07,B,4,さよなら列車,Sayonara Ressha,
07,B,5,馬鹿っちょ出船,Bakatcho Desen,
07,B,6,さすらい小鳩,Sasurai Kobato,
07,B,7,アンコ椿は恋の花,Anko Tsubaki wa Koi no Hana,
08,A,1,海鳴りの詩,Uminari no Uta,
08,A,2,北の宿から,Kita no Yado kara,
08,A,3,ただひとり,Tada Hitori,
08,A,4,雨やどり,Amayadori,
08,A,5,おぼろ月夜,Oborozukiyo,
08,A,6,ふるさとが泣いた,Furusato ga Naita,
08,A,7,白樺に涙あり,Shirakaba ni Namida Ari,
08,A,8,ゆうがおの丘,Yūgao no Oka,
08,B,1,涙の連絡船,Namida no Renrakusen,
08,B,2,好きになった人,Suki ni Natta Hito,
08,B,3,おんなの海峡,Onna no Kaikyō,
08,B,4,アンコ椿は恋の花,Anko Tsubaki wa Koi no Hana,
08,B,5,港町,Minatomachi,
08,B,6,惚れちゃったんだよ,Horechatta n da yo,
08,B,7,初恋の川,Hatsukoi no Kawa,
08,B,8,さよなら列車,Sayonara Ressha,
09,A,1,ひとり寝の子守唄,Hitorine no Komoriuta,
09,A,2,ギターをひこう,Gitā o Hikō,
09,A,3,希望,Kibō,
09,A,4,真夜中の電話,Mayonaka no Denwa,
09,A,5,戦争は知らない,Sensō wa Shiranai,
09,A,6,ゲバラ・アーミオ,Guevara Armio,
09,B,1,別れの数え唄,Wakare no Kazoeuta,
09,B,2,小さな花びらの思い出,Chiisana Hanabira no Omoide,
09,B,3,白いブランコ,Shiroi Buranko,
09,B,4,枯木の上に,Kareki no Ue ni,
09,B,5,愛する人に歌わせないで,Aisuru Hito ni Utawasenai de,
09,B,6,とっても長い道,Tottemo Nagai Michi,
09,C,1,赤い風船,Akai Fūsen,
09,C,2,あじさい色の雨,Ajisai-iro no Ame,
09,C,3,風,Kaze,
09,C,4,虹をさがそう,Niji o Sagasō,
09,C,5,時には母のない子のように,Toki ni wa Haha no Nai Ko no Yō ni,
09,C,6,朝の食事,Asa no Shokuji,
09,D,1,帰りたい帰れない,Kaeritai Kaerenai,
09,D,2,まごころ,Magokoro,
09,D,3,牢獄の炎,Rōgoku no Honō,
09,D,4,坊や大きくならないで,Bōya Ōkiku Naranai de,
09,D,5,レニングラードの不良少年,Leningrad no Furyō Shōnen,
09,D,6,さようなら,Sayōnara,
11,A,1,秋でもないのに,Aki demo nai noni,PROVISIONAL—from SOLL-16
11,A,2,風がはこぶもの,Kaze ga Hakobu mono,PROVISIONAL
11,A,3,家路,Ieji,PROVISIONAL
11,A,4,一人の手,Hitori no Te,PROVISIONAL
11,A,5,だれかを愛したい,Dareka o Aishitai,PROVISIONAL
11,A,6,耳をすましてごらん,Mimi o Sumashite Goran,PROVISIONAL
11,B,1,誰もいない海,Dare mo Inai Umi,PROVISIONAL
11,B,2,出発のある人生,Shuppatsu no Aru Jinsei,PROVISIONAL
11,B,3,今日の日はさようなら,Kyō no Hi wa Sayōnara,PROVISIONAL
11,B,4,愛するハーモニー,Aisuru Harmony,PROVISIONAL
11,B,5,サルビアの花,Sarubia no Hana,PROVISIONAL
11,B,6,さよならをするために,Sayonara o Suru Tame ni,PROVISIONAL
12,A,1,秋でもないのに,Aki demo nai noni,
12,A,2,一人の手,Hitori no Te,
12,A,3,野に咲く花,No ni Saku Hana,
12,A,4,小さな丘の小さな家,Chiisana Oka no Chiisana Ie,
12,A,5,死んだ少女,Shinda Shōjo,
12,A,6,風がはこぶもの,Kaze ga Hakobu mono,
12,B,1,誰もいない海,Dare mo Inai Umi,
12,B,2,遠い世界に,Tōi Sekai ni,
12,B,3,白い色は恋人の色,Shiroi Iro wa Koibito no Iro,
12,B,4,おはなし,Ohanashi,
12,B,5,小さな日記,Chiisana Nikki,
12,B,6,今日の日はさようなら,Kyō no Hi wa Sayōnara,
13,?,1,春の海,Haru no Umi,side assignment unverified
13,?,2,比良,Hira,side assignment unverified
13,?,3,瀬音,Seoto,side assignment unverified
13,?,4,都踊,Miyako Odori,side assignment unverified
13,?,5,コスモス,Cosmos,side assignment unverified
13,?,6,せきれい,Sekirei,side assignment unverified
13,?,7,紅薔薇,Benibara,side assignment unverified
14,A,1,二十三夜,Nijūsan'ya,
14,A,2,後追い三味線,Atooi Shamisen,
14,A,3,十三夜,Jūsanya,
14,A,4,お別れさのさ,Owakare Sanosa,
14,A,5,三味線一代,Shamisen Ichidai,
14,A,6,お俊恋唄,Otoshi Koiuta,
14,B,1,明治一代女,Meiji Ichidai Onna,
14,B,2,すみだ川,Sumidagawa,
14,B,3,湯島の白梅,Yushima no Shiraume,
14,B,4,野崎小唄,Nozaki Kouta,
14,B,5,祇園小唄,Gion Kouta,
14,B,6,天龍下れば,Tenryū Kudareba,
15,A,1,What a Beautiful World,What a Beautiful World,
15,A,2,Love Him,Love Him,
15,A,3,I'm Gonna Make It Happen,I'm Gonna Make It Happen,
15,A,4,Maybe It Could Be Me,Maybe It Could Be Me,
15,A,5,Movin' On,Movin' On,
15,A,6,Travelin' Easy,Travelin' Easy,
15,B,1,Mariposa,Mariposa,
15,B,2,Sweet Morning Rain,Sweet Morning Rain,
15,B,3,Sunny Smile of Love,Sunny Smile of Love,
15,B,4,Rainy Day,Rainy Day,
15,B,5,Wheel of Love,Wheel of Love,
15,B,6,Fly,Fly,
16,A,1,「元気ですか」,Genki desu ka,2:58
16,A,2,怜子,Reiko,2:40
16,A,3,わかれうた,Wakareuta,3:57
16,A,4,海鳴り,Uminari,3:27
16,A,5,化粧,Keshō,5:07
16,B,1,ミルク32,Milk 32,4:33
16,B,2,あほう鳥,Ahōdori,4:06
16,B,3,おまえの家,Omae no Ie,6:32
16,B,4,世情,Sejō,6:12
17,A,1,Julia,Julia,2:48
17,A,2,愛の飛行士,Ai no Hikōshi,4:30
17,A,3,蒼ざめた空白,Aozameta Kūhaku,5:29
17,A,4,吟遊詩人（マイスタージンガー）,Gin'yūshijin (Meistersinger),4:45
17,A,5,横浜スタジアム,Yokohama Stadium,3:29
17,B,1,かわいい君に,Kawaii Kimi ni,4:18
17,B,2,うかれ猫,Ukare Neko,3:29
17,B,3,僕のラストソング,Boku no Last Song,2:44
17,B,4,グッドオールドデイズ,Good Old Days,4:38
17,B,5,たそがれホテル〜ヘミングウェイ夫人の面影によせて〜,Tasogare Hotel,4:35
18,A,1,風車,Kazaguruma,
18,A,2,私が昔好きだった人,Watashi ga Mukashi Suki datta Hito,
18,A,3,曲がり角を曲がると,Magarikado o Magaru to,
18,A,4,てがみ,Tegami,
18,A,5,ばいばい,Bye Bye,
18,A,6,12月の詩,Jūnigatsu no Uta,
18,B,1,美しい季節に,Utsukushii Kisetsu ni,
18,B,2,めぐり逢い,Meguriai,
18,B,3,雨の日のポエム,Ame no Hi no Poem,
18,B,4,始発列車で,Shihatsu Ressha de,
18,B,5,今は悲しいけれど,Ima wa Kanashii keredo,
18,B,6,六月の子守唄,Rokugatsu no Komoriuta,
19,A,1,私はいま,Watashi wa Ima,
19,A,2,冬のまぼろし,Fuyu no Maboroshi,
19,A,3,つぶやき,Tsubuyaki,
19,A,4,真実を言えば,Shinjitsu o Ieba,
19,A,5,お・は・よ・う,O-ha-yo-u,
19,B,1,シャボン玉,Shabondama,
19,B,2,心よ,Kokoro yo,
19,B,3,血のいろの月,Chi no Iro no Tsuki,
19,B,4,ルームミラー,Room Mirror,
19,B,5,海の見える部屋,Umi no Mieru Heya,
21,A,1,How About You?,How About You?,
21,A,2,Too Shy To Say,Too Shy To Say,
21,A,3,I've Got Just About Everything,I've Got Just About Everything,
21,A,4,But For Now,But For Now,
21,A,5,Comin' Home Baby,Comin' Home Baby,
21,B,1,You Took Advantage Of Me,You Took Advantage Of Me,
21,B,2,These Foolish Things Remind Me Of You,These Foolish Things,
21,B,3,A Good Man Is Hard To Find,A Good Man Is Hard To Find,
21,B,4,Brown Skin Girl,Brown Skin Girl,
22,A,1,ゆれてる私,Yureteru Watashi,
22,A,2,あなたが恋しい,Anata ga Koishii,
22,A,3,天使のくちびる,Tenshi no Kuchibiru,
22,A,4,十七の夏,Jūnana no Natsu,
22,A,5,白い風よ,Shiroi Kaze yo,
22,A,6,ひとり歩き,Hitori Aruki,
22,B,1,はじめての出来事,Hajimete no Dekigoto,
22,B,2,叱られてから,Shikararete kara,
22,B,3,黄色いリボン,Kiiroi Ribbon,
22,B,4,花物語,Hana Monogatari,
22,B,5,高原物語,Kōgen Monogatari,
22,B,6,わたしの青い鳥,Watashi no Aoi Tori,
22,C,1,あなたに贈る詩,Anata ni Okuru Uta,
22,C,2,うわさのダニエル,Uwasa no Daniel,
22,C,3,初恋の散歩道,Hatsukoi no Sanpomichi,
22,C,4,もうひとりの私,Mō Hitori no Watashi,
22,C,5,１７さいの日記,17-sai no Nikki,
22,C,6,思いやり,Omoiyari,
22,D,1,あなたが頬をぶったの,Anata ga Hoho o Butta no,
22,D,2,月影のくちづけ,Tsukikage no Kuchizuke,
22,D,3,まだ子供でしょうか,Mada Kodomo deshō ka,
22,D,4,あきらめて,Akiramete,
22,D,5,初恋時代,Hatsukoi Jidai,
22,D,6,風の中の恋,Kaze no Naka no Koi,
23,A,1,夢でいいから,夢でいいから (obi; side provisional),
23,A,2,ふたりだけの城,ふたりだけの城 (obi; side provisional),
23,A,3,涙の中を歩いてる,涙の中を歩いてる (obi; side provisional),
23,A,4,今日からあなたと,今日からあなたと (obi; side provisional),
23,A,5,昨日の女,昨日の女 (obi; side provisional),
23,A,6,止めないで,止めないで (obi; side provisional),
23,B,1,おもいでの長崎,おもいでの長崎 (obi; side provisional),
23,B,2,ブルー・パール,ブルー・パール (obi; side provisional),
23,B,3,さすらいの天使,さすらいの天使 (obi; side provisional),
23,B,4,愛の芽ばえ,愛の芽ばえ (obi; side provisional),
23,B,5,渚にて,渚にて (obi; side provisional),
23,B,6,絵にかえたなら,絵にかえたなら (obi; side provisional),
23,C,1,雪の景色,雪の景色 (obi; side provisional),
23,C,2,絵本の中で,絵本の中で (obi; side provisional),
23,C,3,砂漠のような東京で,砂漠のような東京で (obi; side provisional),
23,C,4,何があなたをそうさせた,何があなたをそうさせた (obi; side provisional),
23,C,5,生まれかわるものならば,生まれかわるものならば (obi; side provisional),
23,C,6,あなたならどうする,あなたならどうする (obi; side provisional),
23,D,1,喧嘩のあとでくちづけを,喧嘩のあとでくちづけを (obi; side provisional),
23,D,2,まるで飛べない小鳥のように,まるで飛べない小鳥のように (obi; side provisional),
23,D,3,太陽は泣いている,太陽は泣いている (obi; side provisional),
23,D,4,ブルー・ライト・ヨコハマ,ブルー・ライト・ヨコハマ (obi; side provisional),
25,A,1,アカシアの雨がやむとき,Akashia no Ame ga Yamu Toki,
25,A,2,コーヒー・ルンバ,Coffee Rumba,
25,A,3,夜が切ない,Yoru ga Setsunai,
25,A,4,エリカの花散るとき,Erika no Hana Chiru Toki,
25,A,5,故郷のように,Kokyō no Yō ni,
25,A,6,恋心,Koigokoro,
25,B,1,東京ブルース,Tōkyō Blues,
25,B,2,死ぬまで一緒に,Shinu made Issho ni,
25,B,3,博多ブルース,Hakata Blues,
25,B,4,東京讃歌,Tōkyō Sanka,
25,B,5,裏町酒場,Uramachi Sakaba,
25,B,6,裏町ブルース,Uramachi Blues,
25,C,1,女の意地,Onna no Iji,
25,C,2,赤坂の夜は更けて,Akasaka no Yoru wa Fukete,
25,C,3,信じていたい,Shinjite Itai,
25,C,4,知りたくないの,Shiritakunai no,
25,C,5,たそがれの恋,Tasogare no Koi,
25,C,6,ウナ・セラ・ディ東京,Una Sera di Tokyo,
25,D,1,涙のかわくまで,Namida no Kawaku made,
25,D,2,星のナイト・クラブ,Hoshi no Night Club,
25,D,3,鍵をかけないで,Kagi o Kakenai de,
25,D,4,爪,Tsume,
25,D,5,古い傷あと,Furui Kizuato,
25,D,6,ベッドで煙草を吸わないで,Bed de Tabako o Suwanai de,
26,A,1,江戸子守唄 (坊やはよい子だ),Edo Komoriuta,
26,A,2,五つ木の子守唄,Itsuki no Komoriuta,
26,A,3,島原の子守唄,Shimabara no Komoriuta,
26,A,4,竹田の子守唄,Takeda no Komoriuta,
26,A,5,大阪子守唄,Osaka Komoriuta,
26,A,6,中国地方の子守唄,Chugoku-chiho no Komoriuta,
26,A,7,夜明けの子守唄,Yoake no Komoriuta,
26,B,1,お山の子守唄,Hushabye Mountain,
26,B,2,ハッシャ・バイ,Hush-A-Bye,
26,B,3,サマータイム,Summertime,
26,B,4,ハッシュ・リトル・ベイビー,Hush Little Baby,
26,B,5,私の試練,All My Trials,
26,B,6,ライラ,Lay-La,
26,B,7,世界の子守唄メドレー,World Lullaby Medley,
35,A,1,新宿の女,Shinjuku no Onna,
35,A,2,女のブルース,Onna no Blues,
35,A,3,圭子の夢は夜ひらく,Keiko no Yume wa Yoru Hiraku,
35,A,4,命預けます,Inochi Azukemasu,
35,A,5,京都から博多まで,Kyoto kara Hakata made,
35,A,6,別れの旅,Wakare no Tabi,
35,B,1,悲しみの町,Kanashimi no Machi,
35,B,2,明日から私は,Ashita kara Watashi wa,
35,B,3,京都ブルース,Kyoto Blues,
35,B,4,命火,Inochibi,
35,B,5,あなたの噂,Anata no Uwasa,
35,B,6,生きてるだけの女,Ikiteru dake no Onna,
37,A,1,Time After Time,Paul Revere & The Raiders,
37,A,2,I Stand Alone,Al Kooper,
37,A,3,Season Of The Witch,Al Kooper / Stephen Stills,
37,A,4,Black Magic Woman,Santana,
37,B,1,Bitter Sweet Samba,Nobuo Hara and His Sharps & Flats,
37,B,2,Raindrops Keep Fallin' On My Head,Shigeru Maikawa,
37,B,3,知床旅情,Shigeru Maikawa,
37,B,4,Eli's Coming,Laura Nyro,
37,B,5,Medley From Movies,André Kostelanetz,
37,B,6,Young And Foolish,Ray Conniff And The Singers,
26,A,1,江戸子守唄 (坊やはよい子だ),Edo Komoriuta,
26,A,2,五つ木の子守唄,Itsuki no Komoriuta,
26,A,3,島原の子守唄,Shimabara no Komoriuta,
26,A,4,竹田の子守唄,Takeda no Komoriuta,
26,A,5,大阪子守唄,Osaka Komoriuta,
26,A,6,中国地方の子守唄,Chugoku-chiho no Komoriuta,
26,A,7,夜明けの子守唄,Yoake no Komoriuta,
26,B,1,お山の子守唄,Hushabye Mountain,
26,B,2,ハッシャ・バイ,Hush-A-Bye,
26,B,3,サマータイム,Summertime,
26,B,4,ハッシュ・リトル・ベイビー,Hush Little Baby,
26,B,5,私の試練,All My Trials,
26,B,6,ライラ,Lay-La,
26,B,7,世界の子守唄メドレー,World Lullaby Medley,
37,A,1,Time After Time,Paul Revere & The Raiders,
37,A,2,I Stand Alone,Al Kooper,
37,A,3,Season Of The Witch,Al Kooper / Stephen Stills,
37,A,4,Black Magic Woman,Santana,
37,B,1,Bitter Sweet Samba,Nobuo Hara and His Sharps & Flats,
37,B,2,Raindrops Keep Fallin’ On My Head,Shigeru Maikawa,
37,B,3,知床旅情,Shigeru Maikawa / Shiretoko Ryojo,
37,B,4,Eli's Coming,Laura Nyro,
37,B,5,Medley From Movies,André Kostelanetz,
37,B,6,Young And Foolish,Ray Conniff And The Singers,
35,A,1,新宿の女,Shinjuku no Onna,
35,A,2,女のブルース,Onna no Blues,
35,A,3,圭子の夢は夜ひらく,Keiko no Yume wa Yoru Hiraku,
35,A,4,命預けます,Inochi Azukemasu,
35,A,5,京都から博多まで,Kyoto kara Hakata made,
35,A,6,別れの旅,Wakare no Tabi,
35,B,1,悲しみの町,Kanashimi no Machi,
35,B,2,明日から私は,Ashita kara Watashi wa,
35,B,3,京都ブルース,Kyoto Blues,
35,B,4,命火,Inochibi,
35,B,5,あなたの噂,Anata no Uwasa,
35,B,6,生きてるだけの女,Ikiteru dake no Onna,
